Straße ;Planquadrat ;Datum der Benennung;Informationen zur Benennung 
Von-der-Marwitz-Weg ;J 10 ;10. Nov 04;Benannt nach Gebhard von der Marwitz (1914-1993), Großherzoglicher Vermögensverwalter, wirkte mit bei dem Wiederaufbau des Schloßmuseums. 
Von-Ketteler-Straße ;O 7 ;;Stadtteil Eberstadt, benannt nach Wilhelm Emmanuel Freiherr von Ketteler (1811-1877), Bischof in Mainz, Errichter von Waisen- u. Rettungshäusern. 
Vor dem Obertor ;E 8 ;26. Jun 53;Stadtteil Arheilgen, benannt nach einer Gewannbezeichnung, die sich auf eine Pforte bezieht, die früher zwei Ortsteile trennte. 
Vor der Schafbrücke ;D-E 8 ;;Stadtteil Arheilgen, benannt nach einer Gewannbezeichnung, hier führte ein Steg über den Ruthsenbach, über den die Schafe getrieben wurden. 
Vor der Schreiberpforte ;D-E 8 ;25. Sep 53;Stadtteil Arheilgen, benannt nach einer Gewannbezeichnung die darauf beruht, dass hier früher ein altes Zollhaus (Schreiberpforte) stand. 
Wachtelweg ;E 9 ;24. Mrz 56;Stadtteil Arheilgen,benannt nach der Wachtel, dem kleinsten einheimischen Hühnervogel. 
Walbeweg;H 9 ;06. Jan 65;Benannt nach Heinrich Rudolf Walbe (1865-1954), Professor für Baukunst an der TH Darmstadt 
Waldmühlenweg;K 9 ;;Benannt nach der 'Achensmühle', die früher an Stelle des Botanischen Gartens stand. 
Waldspirale ;H 8 ;20. Jan 99;Das vom berühmten Künstler Hundertwasser entworfene Gebäude war sein letztes Bauprojet dieser Art. Der Name 'Waldspirale' wurde von Hundertwasser selbst gestaltet. 
Waldstraße ;P 7 ;;Stadtteil Eberstadt, wurde so benannt, da sie zum Waldstück 'Tanne' führte. 
Walther-Rathenau-Str. ;P 6 ;;Stadtteil Eberstadt, benannt nach Walter Rathenau (18671922), Industrieller u. Politiker. 1922 Außenminister, von Rechtsradikalen ermordet. 
Waltherstraße ;F 10 ;28. Jan 81;Stadtteil Kranichstein, benannt nach Philipp Alexander Ferdinand Walther (1821-1887) Darmstädter Hofbibliotheksdirektor 
Washingtonplatz;H 9 ;;Benannt nach George Washington (1732-1799), Anführer der Unabhängigkeitsbewegung in den Vereinigten Staaten von Amerika und deren erster Präsident. 
Weberweg;H 9 ;Benennung 1918 ;Benannt nach Karl Maria von Weber (1786-1826), Komponist. 
Wechslerstraße ;E 7 ;13. Mrz 74;Stadtteil Arheilgen, benannt nach Heinrich Wechsler (1901-1938) jüdischer Bäcker u. Getreidehändler in Arheilgen 
Wedekindweg;J 5 ;Benennung 1920 ;Benannt nach Georg Wilhelm Freiherr von Wedekind (1796-1856),Darmstädter Geheimer Oberforstrat. 
Wegscheide ;C 7 ;01. Jan 77;Stadtteil Wixhausen, so benannt, da sich hier der Übergang vom höher gelegenen Gebiet in das tieferliegende Sumpfgebiet befindet. 
Weidenweg ;F-G 8-9 ;27. Feb 02;Benennung nach dem Weidenbaum 
Weidigweg ;R 7 ;12. Dez 73;Stadtteil Eberstadt, benannt nach Dr. Friedrich Ludwig Weidig (1791-1837), Pfarrer u. Freiheitskämpfer war in Darmstadt inhaftiert. 
Weinbergstraße;L 7 ;;Benannt nach den Weinbergen, die früher in dieser Gegend lagen. 
Weingartenstraße ;P 7 ;;Stadtteil Eberstadt, alte Flurbezeichnung 
Weiterstädter Landstraße ;D-E 5-7 ;20. Jan 99;Stadtteil Arheilgen, benannt nach dem westl. von Darmstadt liegenden Ort Weiterstadt. 
Weiterstädter Straße ;D-E 5-8 ;Benennung 1874 ;Stadtteil Arheilgen, benannt nach dem weslt. von Darmstadt liegenden Ort Weiterstadt. 
Wenckstraße;H 8 ;Benennung 1873 ;Benannt nach Helfrich Bernhard Wenck (17391803),Darmstädter Hofbibliothekar, Oberschulrat und Geheimer Konsistorialrat. 
Wendelstadtanlage ;F 10 ;22. Dez 82;Stadtteil Kranichstein,benannt nach Theodor Wendelstadt (1820-1881), Darmstädter Bankdirektor 
Wernerstraße ;E 8 ;24. Apr 50;Stadtteil Arheilgen,Benennung vermutlich nach dem ersten Anwohner dieser Straße. 
Weyprechtstraße;K 7 ;Benennung 1881 ;Benannt nach Polarforscher Karl Weyprecht (1838-1881), Entdecker des Franz-Joseph-Landes. 
Wichernstraße ;C 7-8 ;01. Jan 77;Stadtteil Wixhausen, benannt nach Johann Hinrich Wichern (1808-1881), Vater der inneren Mission, protest. Geistlicher 
Wickopweg ;F-G 10 ;03. Mai 67;Stadtteil Kranichstein, benannt nach Professor Georg Wickop (1861-1914), Professor der Baukunst an der TH Darmstadt 
Wiedehopfweg ;P 7 ;24. Apr 02;Stadtteil Eberstadt, benannt nach der dort ansässigen Vogelart 
Wielandstraße ;F 8 ;30. Jan 63;Stadtteil Arheilgen,benannt nach Christoph Martin Wieland (1733-1813), Dichter, Romanschriftsteller. 
Wienerstraße;J-K 8 ;Benennung 1876 ;Genannt nach dem damals in dieser Gegend liegenden Grundbesitz der Darmstädter Familie Wiener, der Besitzerin der bekannten Brauerei 'Zur Krone'. 
Wiesengasse ;B-C 7 ;01. Jan 77;Stadtteil Wixhausen, benannt nach den in den Niederungen nördlich von Wixhausen liegenden Wiesen 
Wiesenthalweg;L 7 ;03. Aug 88;Benannt nach Dr. Georg Wiesenthal (1909-1972), Darmstädter Heimatforscher 
Wildstraße ;E 8-9 ;;Stadtteil Arheilgen, benannt nach dem Arheilger Maurermeister Georg Peter Wild (1838-1902). 
Wilhelm-Busch-Weg ;D 8 ;19. Feb 69;Stadtteil Arheilgen, benannt nach Wilhelm Busch (18321908), Maler und Dichter 
Wilhelm-Glässing-Straße;K 8 ;;Benannt nach Dr. jur. Wilhelm Glässing (1865-1929), von 1909-1929 Bürgermeister und Oberbürgermeister von Darmstadt 
Wilhelminenplatz;K 8 ;Benennung 1831 ;Benannt nach Wilhelmine, Großherzogin von Hessen (1788-1836). 
Wilhelminenstraße ;J-K 7-8 ;Benennung 1831 ;Benannt nach Wilhelmine, Großherzogin von Hessen (1788-1836). 
Wilhelm-Jäger-Straße;J-K 9 ;Benennung 1918 ;Benannt nach dem Geh. Medizinalrat Dr. Karl Friedrich Wilhelm Jäger (1839-1910), Leiter des Städt. Krankenhauses. 
Wilhelm-Leuschner-Straße;H-J 7 ;Benennung 1945 ;Benannt nach Wilhelm Leuschner (1890-1944), gelernter Bildhauer, Gewerkschaftssekretär. 1928-1933 Minister des Inneren. 1944 Opfer des Nationalsozialismus. 
Wilhelm-Michel-Straße;L 8 ;26. Jun 53;Benannt nach Wilhelm Michel (1877-1942), Philosoph u. Schriftsteller 
Wilhelmstraße ;P 7 ;Benennung 1859 ;Stadtteil Eberstadt,benannt nach Prinz Wilhelm von Hessen (1845-1900), General. 
Wilhelm-Walcher-Weg ;B 8 ;25. Jun 08;Benannt nach Prof. Dr. Dipl.-Ing. Wilhelm Walcher (1910-2005), Universitätsprofessor für Physik, maßgeblich an der Gründung der GSI beteiligt. Träger des Großen Verdienstordens der Bundesrepublik Deutschland. 
Willy-Brandt-Platz;J 7 ;12. Jan 94;Benannt nach Willy Brandt (1913-1992), Deutscher Bundeskanzler. 
Windausweg ;F 8 ;21. Jul 76;Stadtteil Arheilgen, benannt nach Adolf Otto Reinhold Windaus (1876-1959), Chemiker. 
Wingertsbergstraße;J 9 ;;Benannt nach dem 'Herrn Wingerts Berg' auf der Mathildenhöhe. 
Winkelschneise;M 6 ;10. Jan 73;Benannt nach einer Gewannbezeichnung, die sich darauf bezieht, dass der Verlauf der Schneise in einem stumpfen Winkel gebrochen ist. 
Wittichstraße;K 6 ;30. Jan 63;Benannt nach Johann Georg Wittich (1712-1776), Darmstädter Drucker und Verleger. 
Wittmannstraße;K 8 ;Benennung 1872 ;Benannt nach Friedrich Wittmann (1805-1862), Bessunger Bürgermeister von 1843-1862. 
Wixhäuser Straße ;D-E 8 ;01. Jan 77;Stadtteil Arheilgen, benannt nach der Gemeinde Wixhausen , die ein Stadtteil Darmstadts wurde. 
Wöhlerweg;G 6 ;03. Mai 67;Benannt nach Professor Friedrich Wöhler (1800-1882), berühmter Chemiker. 
Wolfsgartenallee ;B-C 6 ;;Benannt nach dem Schloß Wolfsgarten zwischen Egelsbach u. Langen. 
Wolfskehl'scher Garten;K 8 ;;Benannt nach Otto Wolfskehl (1841-1907), Darmstädter Bankier und Stadtverordneter und seinem Sohn Karl Wolfskehl (1869-1948) Darmstädter Schriftsteller. 
Wolfskehlstraße;H-J 9 ;26. Juni 1953 23. Dezember 1953 ;Benannt nach Otto Wolfskehl (1841-1907), Darmstädter Bankier und Stadtverordneter und seinem Sohn Karl Wolfskehl (1869-1948) Darmstädter Schriftsteller. 
Woogsplatz;J 8 ;;An der Stelle des Platzes war früher ein Teich, der 'Kleine Woog'. 
Wormser Straße;L 6-7 ;;Benannt nach der Stadt Worms am Rhein, südwestl. von Darmstadt. 
Würthweg;J 8 ;24. Mrz 56;Benannt nach Joseph Würth (1900-1948),Darmstädter Verleger u. Publizist, Mitstreiter von Mierendorff und Haubach 
Würzburger Straße ;F 9 ;05. Dez 58;Stadtteil Arheilgen, benannt nach der Stadt Würzburg am Main. 
Zeissigweg;E 8-9 ;27. Nov 74;Stadtteil Arheilgen, benannt nach dem Singvogel Zeisig. 
Zeissweg;B 8 ;01. Jan 77;Benannt nach Carl Zeiss (1816-1888), Mechaniker, Unternehmer u. Erfinder. 
Zerninstraße;P 6-7 ;24. Nov 49;Stadtteil Eberstadt,benannt nach Heinrich Zernin (18681951), bekannter Darmstädter Heimatmaler 
Zeughausstraße;J 8 ;Benennung 1860 ;Benennung nach dem von Schuknecht (Darmstädter Stadtzimmermann) 1771 erbauten Zeughaus, das allerdings beim Neubau des Museums wieder abgerissen wurde 
Zeyherweg;J 10 ;06. Nov 63;Benannt nach Johann Michael Zeyher (1770-1843), Gartengestalter des Parks Rosenhöhe 
Ziegelbuschweg;H 9 ;;Gewannbezeichnung,benannt nach einem kleinen Wald an den Ziegelscheuern. 
Zilleweg;E 8 ;30. Jan 63;Stadtteil Arheilgen, benannt nach Heinrich Zille (18581929), Berliner Zeichner, Karikaturist und Graphiker. 
Zimmermannweg;F 10 ;22. Dez 82;Stadtteil Kranichstein,benannt nach Dr. Wilhelm Zimmermann (1811-1895),Darmstädter Arzt und demokratischer Politiker. 
Zimmerstraße;K 7 ;Benennung 1831 ;Benannt nach dem dort einst liegenden herrschaftlichen Zimmerplatz. 
Zöllerstraße;E 8 ;;Stadtteil Arheilgen,benannt nach der Familie Zöller-Benz, die den Beruf des Zöllners ausübte. 
Zuckmayerweg;J 10 ;28. Jan 81;Park Rosenhöhe, benannt nach Carl Zuckmayer (18961977), Schriftsteller. 
Zweifalltorweg;J 6 ;13. Okt 53;Genannt nach der Zweifalltorschneise, die früher vom Dornheimerweg weiter nach Süden durch die Wälder zog. 
;;;
